CustomerID,PaymentMethod,Price,ProductCategory,ProductID,Quantity,StoreLocation,TransactionDate
100,Credit Card,911,Books,A,8,"45946 Catherine Fords Apt. 633
North Curtis, AS 88973",2023-05-13 00:00:00
100017,Debit Card,348,Books,C,3,"950 Elizabeth Village Apt. 649
East Juanhaven, WI 71822",2024-03-22 00:00:00
100034,Debit Card,677,Electronics,D,3,"83730 Cain Ville
South Lisastad, DE 28191",2023-08-23 00:00:00
10005,Cash,252,Home Decor,D,5,"50030 Sarah Rest
Monicafurt, MI 69047",2023-07-26 00:00:00
100056,Debit Card,108,Books,A,1,"3756 Phillip Curve
Wilkinsontown, VA 39528",2024-01-21 00:00:00
100057,PayPal,685,Home Decor,A,6,"75305 Jason Gateway Apt. 879
Jonesstad, DC 03120",2023-06-12 00:00:00
100061,PayPal,615,Electronics,A,4,"635 Lee Knoll Apt. 434
Ruizborough, WV 30735",2023-10-03 00:00:00
100072,PayPal,847,Books,A,4,"600 Webb Burgs
Whitneyfurt, OH 68394",2023-06-06 00:00:00
100092,Debit Card,817,Home Decor,B,6,"Unit 6923 Box 4430
DPO AP 33844",2023-07-08 00:00:00
1001,Debit Card,431,Home Decor,D,1,"PSC 4899, Box 7548
APO AA 93934",2024-02-22 00:00:00
100120,Debit Card,264,Clothing,A,1,"455 Rachel Courts Suite 853
Lake Rebeccaport, NM 70997",2024-03-15 00:00:00
100132,Debit Card,333,Electronics,B,3,"0563 Antonio Way
New Ashley, CO 05544",2023-06-25 00:00:00
100137,Cash,863,Home Decor,B,4,"01733 Manning Pike
New Heathertown, WY 16580",2024-02-22 00:00:00
100145,PayPal,767,Home Decor,A,2,"1433 Williams Alley
Westborough, KY 46237",2023-10-23 00:00:00
100167,Credit Card,160,Books,A,3,"USS Lara
FPO AE 50163",2024-02-05 00:00:00
100171,Debit Card,927,Home Decor,B,7,"Unit 6764 Box 0903
DPO AA 81245",2023-07-01 00:00:00
10023,Cash,700,Books,C,5,"795 Graham Loaf Suite 641
South Alishabury, GU 27501",2023-09-14 00:00:00
100241,Credit Card,706,Home Decor,A,5,"7563 Sanchez Ways
Lake William, FL 08479",2023-10-28 00:00:00
100248,Credit Card,586,Electronics,B,9,"77744 Julie Rue
Whiteheadberg, UT 20883",2023-09-30 00:00:00
10025,Cash,417,Home Decor,A,8,"783 Bryan Falls
East Meganport, ND 21924",2023-11-13 00:00:00
100255,PayPal,979,Electronics,A,7,"8650 Holmes Key Apt. 489
North Taylor, IA 88039",2024-03-14 00:00:00
100310,Credit Card,515,Home Decor,A,5,"5246 Wolfe Glens Apt. 463
West Markstad, TX 99760",2024-02-08 00:00:00
100319,Cash,452,Home Decor,B,6,"0871 Patton Via
North Lauren, PR 23038",2024-04-23 00:00:00
10033,Debit Card,723,Books,D,6,"5543 Michael Trafficway Suite 805
Blevinsburgh, GU 71735",2024-03-05 00:00:00
100337,Credit Card,761,Clothing,B,2,"9216 Jenkins Green
South Henryshire, NE 43139",2024-04-26 00:00:00
100342,PayPal,108,Electronics,B,6,"06630 Myers Loop
Bowersborough, TN 56157",2023-07-12 00:00:00
10035,Credit Card,941,Clothing,B,6,"45409 Johnny Islands
North Erica, GU 13987",2023-09-05 00:00:00
100373,Credit Card,965,Clothing,A,8,"4281 Williams Springs
Helenport, AL 53583",2023-08-01 00:00:00
10038,Credit Card,195,Home Decor,B,6,"46485 Fleming Vista
North Catherine, PA 40263",2024-04-28 00:00:00
100386,Credit Card,840,Home Decor,B,1,"85081 Sanchez Land
Carpentershire, MH 08037",2024-01-27 00:00:00
100386,PayPal,529,Books,A,9,"303 Andrew Ramp
Crystalchester, GU 39925",2024-04-21 00:00:00
10039,Debit Card,736,Home Decor,A,4,"4253 Jean Mall
Samanthamouth, AK 03266",2023-09-29 00:00:00
100399,Cash,575,Clothing,A,2,"4803 Johnson Mountain Suite 334
Hectorshire, CT 68577",2024-02-27 00:00:00
10040,Cash,515,Electronics,A,8,"3291 Harrell Trafficway
East Aaron, CO 57787",2023-06-05 00:00:00
100401,Credit Card,588,Books,D,9,"Unit 3846 Box 3377
DPO AP 17626",2023-11-02 00:00:00
100410,PayPal,591,Books,C,8,"2723 Walter Wall Apt. 313
Juliefort, OH 03866",2023-07-07 00:00:00
100412,Cash,331,Books,B,5,"Unit 6403 Box 6851
DPO AP 80594",2024-01-03 00:00:00
100412,PayPal,332,Clothing,D,2,"USS Smith
FPO AP 43408",2024-03-15 00:00:00
100413,Credit Card,485,Electronics,C,6,"230 Good Inlet
New Abigail, IL 30284",2023-06-20 00:00:00
100418,PayPal,389,Clothing,B,3,"83069 Dawson Ridges Suite 542
Morrischester, HI 77846",2023-04-30 00:00:00
10042,Debit Card,525,Electronics,D,9,"6286 Anthony Glen Suite 040
New Robert, PA 76567",2024-01-03 00:00:00
100426,Debit Card,823,Home Decor,A,9,"81547 Lawrence Lake Apt. 571
Antoniofort, OK 50544",2023-09-27 00:00:00
100429,Debit Card,653,Clothing,B,8,"USCGC Chavez
FPO AP 43047",2023-11-15 00:00:00
100438,Debit Card,910,Books,A,3,"804 Walker Wells Apt. 191
Bryantside, AS 06198",2023-05-10 00:00:00
100459,Cash,975,Clothing,C,1,"PSC 9989, Box 2414
APO AE 37059",2023-09-15 00:00:00
100469,Debit Card,639,Clothing,D,8,"7622 Smith Forge
South Heatherchester, IN 26563",2023-08-10 00:00:00
